fromNode	toNode	altNode1Name
ENSG00000224189	hsa-miR-125a-3p	HAGLR
ENSG00000249859	hsa-miR-93-5p	PVT1
ENSG00000249859	hsa-miR-106a-5p	PVT1
ENSG00000232956	hsa-miR-24-3p	SNHG15
ENSG00000163597	hsa-miR-485-5p	SNHG16
ENSG00000163597	hsa-miR-183-5p	SNHG16
ENSG00000163597	hsa-miR-505-3p	SNHG16
ENSG00000163597	hsa-miR-216a-5p	SNHG16
ENSG00000255717	hsa-miR-326	SNHG1
ENSG00000255717	hsa-miR-330-5p	SNHG1
ENSG00000255717	hsa-miR-421	SNHG1
ENSG00000255717	hsa-miR-377-3p	SNHG1
ENSG00000255717	hsa-miR-21-5p	SNHG1
ENSG00000234456	hsa-miR-374b-5p	MAGI2-AS3
ENSG00000234456	hsa-miR-374a-5p	MAGI2-AS3
ENSG00000215417	hsa-miR-4295	MIR17HG
ENSG00000215417	hsa-miR-130a-3p	MIR17HG
ENSG00000215417	hsa-miR-454-3p	MIR17HG
ENSG00000215417	hsa-miR-301a-3p	MIR17HG
ENSG00000215417	hsa-miR-301b-3p	MIR17HG
ENSG00000215417	hsa-miR-130b-3p	MIR17HG
ENSG00000215417	hsa-miR-3666	MIR17HG
ENSG00000197989	hsa-miR-494-3p	SNHG12
ENSG00000242125	hsa-miR-340-5p	SNHG3
ENSG00000234912	hsa-miR-495-3p	SNHG20
ENSG00000233016	hsa-miR-342-3p	SNHG7
ENSG00000234741	hsa-miR-485-5p	GAS5
ENSG00000269821	hsa-miR-148b-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-152-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-148a-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-214-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-761	KCNQ1OT1
ENSG00000269821	hsa-miR-3619-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-29c-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-29b-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-29a-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-377-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-326	KCNQ1OT1
ENSG00000269821	hsa-miR-330-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-7-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-140-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-24-3p	KCNQ1OT1
ENSG00000235703	hsa-miR-342-3p	LINC00894
ENSG00000235280	hsa-miR-33a-5p	MCF2L-AS1
ENSG00000264112	hsa-miR-590-3p	AC015813.1
ENSG00000251562	hsa-miR-320b	MALAT1
ENSG00000251562	hsa-miR-320d	MALAT1
ENSG00000251562	hsa-miR-203a-3p	MALAT1
ENSG00000251562	hsa-miR-140-5p	MALAT1
ENSG00000251562	hsa-miR-320c	MALAT1
ENSG00000251562	hsa-miR-4429	MALAT1
ENSG00000251562	hsa-miR-590-3p	MALAT1
ENSG00000251562	hsa-miR-320a	MALAT1
ENSG00000251562	hsa-miR-124-3p	MALAT1
ENSG00000251562	hsa-miR-1271-5p	MALAT1
ENSG00000251562	hsa-miR-96-5p	MALAT1
ENSG00000251562	hsa-miR-506-3p	MALAT1
ENSG00000251562	hsa-miR-26a-5p	MALAT1
ENSG00000251562	hsa-miR-1297	MALAT1
ENSG00000251562	hsa-miR-26b-5p	MALAT1
ENSG00000251562	hsa-miR-4465	MALAT1
ENSG00000251562	hsa-miR-200b-3p	MALAT1
ENSG00000251562	hsa-miR-429	MALAT1
ENSG00000251562	hsa-miR-200c-3p	MALAT1
ENSG00000130600	hsa-miR-130a-3p	H19
ENSG00000130600	hsa-miR-454-3p	H19
ENSG00000130600	hsa-miR-130b-3p	H19
ENSG00000130600	hsa-miR-29c-3p	H19
ENSG00000130600	hsa-miR-29b-3p	H19
ENSG00000130600	hsa-miR-29a-3p	H19
ENSG00000130600	hsa-miR-4295	H19
ENSG00000130600	hsa-miR-3666	H19
ENSG00000130600	hsa-miR-138-5p	H19
ENSG00000130600	hsa-miR-107	H19
ENSG00000130600	hsa-miR-103a-3p	H19
ENSG00000130600	hsa-miR-370-3p	H19
ENSG00000082397	hsa-miR-125a-3p	EPB41L3
ENSG00000105974	hsa-miR-125a-3p	CAV1
ENSG00000116337	hsa-miR-93-5p	AMPD2
ENSG00000116337	hsa-miR-106a-5p	AMPD2
ENSG00000101255	hsa-miR-24-3p	TRIB3
ENSG00000025772	hsa-miR-24-3p	TOMM34
ENSG00000137692	hsa-miR-24-3p	DCUN1D5
ENSG00000135912	hsa-miR-24-3p	TTLL4
ENSG00000172164	hsa-miR-24-3p	SNTB1
ENSG00000176619	hsa-miR-24-3p	LMNB2
ENSG00000133612	hsa-miR-24-3p	AGAP3
ENSG00000119969	hsa-miR-24-3p	HELLS
ENSG00000047634	hsa-miR-24-3p	SCML1
ENSG00000147799	hsa-miR-24-3p	ARHGAP39
ENSG00000189120	hsa-miR-24-3p	SP6
ENSG00000179862	hsa-miR-24-3p	CITED4
ENSG00000182199	hsa-miR-485-5p	SHMT2
ENSG00000179041	hsa-miR-485-5p	RRS1
ENSG00000138035	hsa-miR-183-5p	PNPT1
ENSG00000137804	hsa-miR-183-5p	NUSAP1
ENSG00000204899	hsa-miR-505-3p	MZT1
ENSG00000143507	hsa-miR-216a-5p	DUSP10
ENSG00000143507	hsa-miR-183-5p	DUSP10
ENSG00000025772	hsa-miR-326	TOMM34
ENSG00000025772	hsa-miR-330-5p	TOMM34
ENSG00000025772	hsa-miR-421	TOMM34
ENSG00000198720	hsa-miR-326	ANKRD13B
ENSG00000198720	hsa-miR-330-5p	ANKRD13B
ENSG00000176619	hsa-miR-326	LMNB2
ENSG00000176619	hsa-miR-330-5p	LMNB2
ENSG00000162062	hsa-miR-377-3p	C16orf59
ENSG00000111490	hsa-miR-421	TBC1D30
ENSG00000163032	hsa-miR-21-5p	VSNL1
ENSG00000072571	hsa-miR-421	HMMR
ENSG00000079335	hsa-miR-374b-5p	CDC14A
ENSG00000079335	hsa-miR-374a-5p	CDC14A
ENSG00000065320	hsa-miR-374b-5p	NTN1
ENSG00000065320	hsa-miR-374a-5p	NTN1
ENSG00000198121	hsa-miR-374b-5p	LPAR1
ENSG00000198121	hsa-miR-374a-5p	LPAR1
ENSG00000156218	hsa-miR-374b-5p	ADAMTSL3
ENSG00000156218	hsa-miR-374a-5p	ADAMTSL3
ENSG00000162407	hsa-miR-374b-5p	PLPP3
ENSG00000162407	hsa-miR-374a-5p	PLPP3
ENSG00000113580	hsa-miR-374b-5p	NR3C1
ENSG00000113580	hsa-miR-374a-5p	NR3C1
ENSG00000164176	hsa-miR-374b-5p	EDIL3
ENSG00000164176	hsa-miR-374a-5p	EDIL3
ENSG00000066468	hsa-miR-374b-5p	FGFR2
ENSG00000066468	hsa-miR-374a-5p	FGFR2
ENSG00000130449	hsa-miR-374b-5p	ZSWIM6
ENSG00000130449	hsa-miR-374a-5p	ZSWIM6
ENSG00000220205	hsa-miR-374b-5p	VAMP2
ENSG00000220205	hsa-miR-374a-5p	VAMP2
ENSG00000065534	hsa-miR-374b-5p	MYLK
ENSG00000065534	hsa-miR-374a-5p	MYLK
ENSG00000122707	hsa-miR-374b-5p	RECK
ENSG00000122707	hsa-miR-374a-5p	RECK
ENSG00000143995	hsa-miR-374b-5p	MEIS1
ENSG00000143995	hsa-miR-374a-5p	MEIS1
ENSG00000106299	hsa-miR-374b-5p	WASL
ENSG00000106299	hsa-miR-374a-5p	WASL
ENSG00000169554	hsa-miR-374b-5p	ZEB2
ENSG00000169554	hsa-miR-374a-5p	ZEB2
ENSG00000113448	hsa-miR-374b-5p	PDE4D
ENSG00000113448	hsa-miR-374a-5p	PDE4D
ENSG00000071967	hsa-miR-374b-5p	CYBRD1
ENSG00000071967	hsa-miR-374a-5p	CYBRD1
ENSG00000109436	hsa-miR-374b-5p	TBC1D9
ENSG00000109436	hsa-miR-374a-5p	TBC1D9
ENSG00000071073	hsa-miR-374b-5p	MGAT4A
ENSG00000071073	hsa-miR-374a-5p	MGAT4A
ENSG00000119938	hsa-miR-374b-5p	PPP1R3C
ENSG00000119938	hsa-miR-374a-5p	PPP1R3C
ENSG00000137941	hsa-miR-374b-5p	TTLL7
ENSG00000137941	hsa-miR-374a-5p	TTLL7
ENSG00000198910	hsa-miR-374b-5p	L1CAM
ENSG00000198910	hsa-miR-374a-5p	L1CAM
ENSG00000106829	hsa-miR-374b-5p	TLE4
ENSG00000106829	hsa-miR-374a-5p	TLE4
ENSG00000111962	hsa-miR-374b-5p	UST
ENSG00000111962	hsa-miR-374a-5p	UST
ENSG00000126821	hsa-miR-374b-5p	SGPP1
