id	filename	md5	size	state
b0954874-d70d-450f-a5cf-113e5ba1c1bd	nationwidechildrens.org_clinical.TCGA-AG-3575.xml	4d695639ab9be786242e2498a630f481	29146	released
621c616f-3759-40b2-8f49-e8c4c4ec297c	nationwidechildrens.org_clinical.TCGA-EI-6883.xml	8bb6f69d1cf5d170dc81be76ba7dab8c	35656	released
f693de8c-e0c3-4d98-8dc6-4646c8b7d6c0	nationwidechildrens.org_clinical.TCGA-AF-2690.xml	d4eeb6a61d25d8985152f858eecb5787	33408	released
a95e6d4b-b2c8-4a7b-b475-571543cecfad	nationwidechildrens.org_clinical.TCGA-AG-3587.xml	1af2ff203d14c91bfb870a662d8899cc	36110	released
27ff5ab3-d6af-4b07-8abb-4fa8de385f68	nationwidechildrens.org_clinical.TCGA-AG-3898.xml	af8e1c616685a5a12ccdeca3177b8a78	29136	released
d8d1c99e-ebaa-435c-9780-2f7a6f73eee6	nationwidechildrens.org_clinical.TCGA-AG-A036.xml	1e4fc14a2e4605a01c7d619d5bb28044	39782	released
17400a6b-a9ca-4b35-b3e9-3b6f426b263b	nationwidechildrens.org_clinical.TCGA-AG-4005.xml	d260037c9549b02d985338eb49e064c4	46843	released
3db1e5cf-9f7b-4209-908e-2441e5d8b134	nationwidechildrens.org_clinical.TCGA-F5-6864.xml	e96a8822da1f2f909d0a2b8ca0a9883d	45150	released
03f0fc1b-632e-4972-99c7-cd4e2e1ce12f	nationwidechildrens.org_clinical.TCGA-AF-3911.xml	5c2e97533fe1fce2408b16149aaee936	79998	released
52b53dbe-e48d-47ee-93bf-d3952241bc50	nationwidechildrens.org_clinical.TCGA-AG-A002.xml	dbf102b418eac678a86a5f936e2d9293	29086	released
783245ea-2925-4526-8aa2-889b58fdca2c	nationwidechildrens.org_clinical.TCGA-AG-3890.xml	e93da773aad2525e8dc6c558c8c67bf6	29082	released
ac70db2f-e7de-4e58-a13c-058f57354646	nationwidechildrens.org_clinical.TCGA-EI-6511.xml	b6d0a8e4e259f62cd771f1d26b5e3c37	35365	released
791abd78-6dee-4fef-a2ff-b1472f05965c	nationwidechildrens.org_clinical.TCGA-AG-A01J.xml	729680ad393d4a33b0cd3c40e90a70a1	24271	released
